ASIN,Title,2022-03-02,2022-03-03,2022-03-05,2022-03-08,2022-03-09,2022-03-10,2022-03-11
B096FJG4FR,Nemora - Kerala Original,4,4,4,,4,4,4
B08Y6PGH7S,Nemora Decorative Rectangular Pendant,0,0,0,,0,0,0
B08ZCP8DBS,Nemora - Kerala Original,1,1,1,,1,1,1
B0957WJB9N,Purifit Powerful Alkaline Media,15,15,15,,15,16,16
B07TM3LRVB,Purifit Washing Machine Filter,412,413,413,,408,409,409
B08332221J,PURIFIT 15 Stage Shower,47,47,47,,49,49,49
B07KYFHTGF,PURIFIT ABS Nemora 10,175,175,175,,175,175,172
B08976V1BZ,Purifit 15 Stage Shower,30,30,30,,31,31,31
B0849NLNTQ,Purifit 15Stage Black Shower,64,64,64,,64,64,64
B09GY4GGXX,Purifit PFKTF-01 Kitchen Tap,,,,,7,7,7
B09KRN87FH,Purifit PFKTF-03 Kitchen Tap,,,,,1,1,1
B09L64FT8X,Purifit PFKTF-06 Kitchen Tap,,,,,1,1,1
B0987NY3WX,Nemora Kerala Wooden Teak,,,,,,,1
