ASIN,Title,2022-03-02,2022-03-03,2022-03-05,2022-03-08,2022-03-09,2022-03-10,2022-03-11
B096FJG4FR,Nemora - Kerala Original,14,14,14,,14,14,14
B08Y6PGH7S,Nemora Decorative Rectangular Pendant,6,6,6,,6,6,6
B08ZCP8DBS,Nemora - Kerala Original,6,6,6,,6,7,7
B0957WJB9N,Purifit Powerful Alkaline Media,20,20,19,,22,22,22
B07TM3LRVB,Purifit Washing Machine Filter,380,381,371,,387,388,387
B08332221J,PURIFIT 15 Stage Shower,98,98,100,,99,99,99
B07KYFHTGF,PURIFIT ABS Nemora 10,128,128,128,,128,128,129
B08976V1BZ,Purifit 15 Stage Shower,21,21,21,,21,21,21
B0849NLNTQ,Purifit 15Stage Black Shower,54,54,54,,54,54,54
B09GY4GGXX,Purifit PFKTF-01 Kitchen Tap,,,,,2,2,2
B09KRN87FH,Purifit PFKTF-03 Kitchen Tap,,,,,1,1,1
B09L64FT8X,Purifit PFKTF-06 Kitchen Tap,,,,,1,1,1
B0987NY3WX,Nemora Kerala Wooden Teak,,,,,,,2
